player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Kagiso Rabada,DC,https://scores.iplt20.com/ipl/playerimages/Kagiso Rabada.png?v=1,30,17, 17, 65,548,4/21,18.26,8.34, 13.13 ,2,0
Jasprit Bumrah,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,27,15, 15, 60,404,4/14,14.96,6.73, 13.33 ,2,0
Trent Boult,MI,https://scores.iplt20.com/ipl/playerimages/Trent Boult.png?v=1,25,15, 15, 57,457,4/18,18.28,7.97, 13.76 ,1,0
Anrich Nortje,DC,https://scores.iplt20.com/ipl/playerimages/Anrich Nortje.png?v=1,22,16, 16, 61,512,3/33,23.27,8.39, 16.63 ,0,0
Yuzvendra Chahal,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,21,15, 15, 57,405,4/25,19.28,7.08, 16.33 ,0,0
Mohammad Shami,PBKS,https://scores.iplt20.com/ipl/playerimages/Mohammad Shami.png?v=1,20,14, 14, 53,460,3/15,23.00,8.57, 16.10 ,0,0
Jofra Archer,RR,https://scores.iplt20.com/ipl/playerimages/Jofra Archer.png?v=1,20,14, 14, 55,365,3/15,18.25,6.55, 16.70 ,0,0
Rashid Khan,SRH,https://scores.iplt20.com/ipl/playerimages/Rashid Khan.png?v=1,20,16, 16, 64,344,3/19,17.20,5.37, 19.20 ,0,0
Varun Chakaravarthy,KKR,https://scores.iplt20.com/ipl/playerimages/Varun Chakaravarthy.png?v=1,17,13, 13, 52,356,5/20,20.94,6.84, 18.35 ,0,1
T Natarajan,SRH,https://scores.iplt20.com/ipl/playerimages/T Natarajan.png?v=1,16,16, 16, 63,504,2/24,31.50,8.02, 23.56 ,0,0
Rahul Chahar,MI,https://scores.iplt20.com/ipl/playerimages/Rahul Chahar.png?v=1,15,15, 15, 53,433,4/27,28.86,8.16, 21.20 ,0,0
Jason Holder,SRH,https://scores.iplt20.com/ipl/playerimages/Jason Holder.png?v=1,14,7, 7, 28,233,4/52,16.64,8.32, 12.00 ,0,0
Sandeep Sharma,SRH,https://scores.iplt20.com/ipl/playerimages/Sandeep Sharma.png?v=1,14,13, 13, 52,374,4/20,26.71,7.19, 22.28 ,0,0
Marcus Stoinis,DC,https://scores.iplt20.com/ipl/playerimages/Marcus Stoinis.png?v=1,13,17, 13, 29,283,4/15,21.76,9.53, 13.69 ,0,0
Ravichandran Ashwin,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,15, 15, 51,391,4/34,30.07,7.66, 23.53 ,0,0
Sam Curran,CSK,https://scores.iplt20.com/ipl/playerimages/Sam Curran.png?v=1,13,14, 13, 42,344,4/11,26.46,8.19, 19.38 ,0,0
Pat Cummins,KKR,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png?v=1,12,14, 14, 52,409,4/34,34.08,7.86, 26.00 ,1,0
Ravi Bishnoi,PBKS,https://scores.iplt20.com/ipl/playerimages/Ravi Bishnoi.png?v=1,12,14, 14, 51,376,3/24,31.33,7.37, 25.50 ,0,0
Deepak Chahar,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,12,14, 14, 52,396,4/13,33.00,7.61, 26.00 ,0,0
Mohammed Siraj,RCB,https://scores.iplt20.com/ipl/playerimages/Mohammed Siraj.png?v=1,11,9, 9, 27,236,4/32,21.45,8.68, 14.81 ,0,0
James Pattinson,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,10, 10, 35,320,2/19,29.09,9.01, 19.36 ,0,0
Chris Morris,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,9, 9, 31,210,4/23,19.09,6.63, 17.27 ,1,0
Shreyas Gopal,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,14, 14, 50,427,4/16,42.70,8.54, 30.00 ,0,0
Murugan Ashwin,PBKS,https://scores.iplt20.com/ipl/playerimages/Murugan Ashwin.png?v=1,10,9, 9, 31,235,3/21,23.50,7.46, 18.90 ,0,0
Shardul Thakur,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,9, 9, 32,275,3/19,27.50,8.50, 19.40 ,0,0
Rahul Tewatia,RR,https://scores.iplt20.com/ipl/playerimages/Rahul Tewatia.png?v=1,10,14, 14, 46,326,3/18,32.60,7.08, 27.60 ,0,0
Lungi Ngidi ,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,4, 4, 16,167,4/10,18.55,10.43, 10.66 ,0,0
Kartik Tyagi,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,10, 10, 38,367,2/29,40.77,9.61, 25.44 ,0,0
Arshdeep Singh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,8, 8, 25,218,5/32,24.22,8.77, 16.55 ,0,0
Axar Patel,DC,https://scores.iplt20.com/ipl/playerimages/Axar Patel.png?v=1,9,15, 15, 51,327,4/21,36.33,6.41, 34.00 ,0,0
Shivam Mavi,KKR,https://scores.iplt20.com/ipl/playerimages/Shivam Mavi.png?v=1,9,8, 8, 26,212,4/21,23.55,8.15, 17.33 ,0,0
Chris Jordan,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,9, 9, 31,304,4/11,33.77,9.65, 21.00 ,0,0
Khaleel Ahmed,SRH,https://scores.iplt20.com/ipl/playerimages/Khaleel Ahmed.png?v=1,8,7, 7, 25,242,3/21,30.25,9.42, 19.25 ,0,0
Isuru Udana,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,10, 10, 29,282,2/41,35.25,9.72, 21.75 ,0,0
Washington Sundar,RCB,https://scores.iplt20.com/ipl/playerimages/Washington Sundar.png?v=1,8,15, 15, 50,298,3/16,37.25,5.96, 37.50 ,0,0
Piyush Chawla,CSK,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png?v=1,6,7, 7, 21,191,4/17,31.83,9.09, 21.00 ,0,0
Navdeep Saini,RCB,https://scores.iplt20.com/ipl/playerimages/Navdeep Saini.png?v=1,6,13, 13, 45,379,2/24,63.16,8.29, 45.66 ,0,0
Sheldon Cottrell,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,6, 6, 20,176,2/17,29.33,8.80, 20.00 ,0,0
Lockie Ferguson,KKR,https://scores.iplt20.com/ipl/playerimages/Lockie Ferguson.png?v=1,6,5, 5, 20,148,3/15,24.66,7.46, 19.83 ,0,0
Ravindra Jadeja,CSK,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,6,14, 13, 36,318,5/16,53.00,8.75, 36.33 ,0,0
Krunal Pandya,MI,https://scores.iplt20.com/ipl/playerimages/Krunal Pandya.png?v=1,6,16, 16, 50,380,3/14,63.33,7.57, 50.16 ,0,0
Dwayne Bravo,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,6,6, 6, 21,180,4/22,30.00,8.57, 21.00 ,0,0
Andre Russell,KKR,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png?v=1,6,10, 7, 18,175,5/15,29.16,9.72, 18.00 ,0,0
Shahbaz Nadeem,SRH,https://scores.iplt20.com/ipl/playerimages/Shahbaz Nadeem.png?v=1,5,7, 7, 22,178,3/16,35.60,8.09, 26.40 ,0,0
Nathan Coulter-Nile,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,7, 7, 26,206,4/14,41.20,7.92, 31.20 ,0,0
Karn Sharma,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,5,5, 5, 19,165,4/16,33.00,8.68, 22.80 ,0,0
Kamlesh Nagarkoti,KKR,https://scores.iplt20.com/ipl/playerimages/Kamlesh Nagarkoti.png?v=1,5,10, 9, 26,231,2/13,46.20,8.88, 31.20 ,0,0
Sunil Narine,KKR,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png?v=1,5,10, 10, 38,302,5/19,60.40,7.94, 45.60 ,0,0
Vijay Shankar,SRH,https://scores.iplt20.com/ipl/playerimages/Vijay Shankar.png?v=1,4,7, 5, 13,82,2/19,20.50,6.22, 19.75 ,0,0
Shivam Dube,RCB,https://scores.iplt20.com/ipl/playerimages/Shivam Dube.png?v=1,4,11, 5, 9,73,2/15,18.25,8.11, 13.50 ,0,0
Kieron Pollard,MI,https://scores.iplt20.com/ipl/playerimages/Kieron Pollard.png?v=1,4,16, 11, 21,190,4/44,47.50,9.04, 31.50 ,0,0
Prasidh Krishna,KKR,https://scores.iplt20.com/ipl/playerimages/Prasidh Krishna.png?v=1,4,6, 6, 17,164,4/30,41.00,9.37, 26.25 ,0,0
Jaydev Unadkat,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,4,7, 7, 23,228,5/25,57.00,9.91, 34.50 ,0,0
Bhuvneshwar Kumar,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,4, 4, 14,99,5/19,33.00,6.98, 28.33 ,0,0
Glenn Maxwell,PBKS,https://scores.iplt20.com/ipl/playerimages/Glenn Maxwell.png?v=1,3,13, 7, 21,169,2/15,56.33,8.04, 42.00 ,0,0
Harshal Patel,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,3,5, 5, 15,134,5/27,44.66,8.93, 30.00 ,0,0
Tom Curran,RR,https://scores.iplt20.com/ipl/playerimages/Tom Curran.png?v=1,3,5, 5, 18,208,3/29,69.33,11.44, 36.33 ,0,0
Tushar Deshpande,DC,https://scores.iplt20.com/ipl/playerimages/Tushar Deshpande.png?v=1,3,5, 5, 17,192,2/37,64.00,11.29, 34.00 ,0,0
Amit Mishra,DC,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png?v=1,3,3, 3, 10,72,5/17,24.00,7.20, 20.00 ,0,0
Ankit Rajpoot,RR,https://scores.iplt20.com/ipl/playerimages/Ankit Rajpoot.png?v=1,2,6, 6, 17,199,5/14,99.50,11.70, 51.00 ,0,0
Siddarth Kaul,SRH,https://scores.iplt20.com/ipl/playerimages/Siddarth Kaul.png?v=1,2,1, 1, 4,64,4/29,32.00,16.00, 12.00 ,0,0
Ben Stokes,RR,https://scores.iplt20.com/ipl/playerimages/Ben Stokes.png?v=1,2,8, 6, 15,154,3/15,77.00,10.26, 45.00 ,0,0
Adam Zampa,RCB,https://scores.iplt20.com/ipl/playerimages/Adam Zampa.png?v=1,2,3, 3, 11,92,6/19,46.00,8.36, 33.00 ,0,0
Abhishek Sharma,SRH,https://scores.iplt20.com/ipl/playerimages/Abhishek Sharma.png?v=1,2,8, 6, 10,91,2/4,45.50,9.10, 30.00 ,0,0
Shahbaz Ahmed,RCB,https://scores.iplt20.com/ipl/playerimages/Shahbaz Ahmed.png?v=1,2,2, 2, 6,44,3/7,22.00,7.33, 18.00 ,0,0
Jimmy Neesham,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,2,5, 5, 15,148,3/12,74.00,9.86, 45.00 ,0,0
Mitchell Santner,CSK,https://scores.iplt20.com/ipl/playerimages/Mitchell Santner.png?v=1,2,2, 2, 7,53,2/13,26.50,7.57, 21.00 ,0,0
Dale Steyn,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,3, 3, 11,133,3/11,133.00,11.40, 70.00 ,0,0
Basil Thampi,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 4,46,3/29,46.00,11.50, 24.00 ,0,0
Imran Tahir,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,3, 3, 11,76,4/12,76.00,6.90, 66.00 ,0,0
Jayant Yadav,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,2, 2, 7,43,1/23,43.00,6.14, 42.00 ,0,0
Andrew Tye,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 4,50,5/17,50.00,12.50, 24.00 ,0,0
Josh Hazlewood,CSK,https://scores.iplt20.com/ipl/playerimages/Josh Hazlewood.png?v=1,1,3, 3, 10,64,3/24,64.00,6.40, 60.00 ,0,0
Mohit Sharma,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,1,1, 1, 4,45,4/14,45.00,11.25, 24.00 ,0,0
Krishnappa Gowtham,PBKS,https://scores.iplt20.com/ipl/playerimages/Krishnappa Gowtham.png?v=1,1,2, 2, 8,84,2/12,84.00,10.50, 48.00 ,0,0
Moeen Ali,RCB,https://scores.iplt20.com/ipl/playerimages/Moeen Ali.png?v=1,1,3, 3, 5,42,3/7,42.00,8.40, 30.00 ,0,0
Kuldeep Yadav,KKR,https://scores.iplt20.com/ipl/playerimages/Kuldeep Yadav.png?v=1,1,5, 4, 12,92,4/20,92.00,7.66, 72.00 ,0,0
Abdul Samad,SRH,https://scores.iplt20.com/ipl/playerimages/Abdul Samad.png?v=1,1,12, 3, 7,96,1/41,96.00,13.71, 42.00 ,0,0
